Sample,Match 1 Reference,Match 1 Window,Match 2 Reference,Match 2 Window,Time to Compute (ns)
exp_signal28.csv,ref_signal1.csv,28.0 - 77.0,ref_signal2.csv,50.0 - 99.0,267382
exp_signal6.csv,ref_signal3.csv,37.0 - 86.0,ref_signal0.csv,15.0 - 64.0,141315
exp_signal36.csv,ref_signal3.csv,5.0 - 54.0,ref_signal1.csv,23.0 - 72.0,132980
exp_signal22.csv,ref_signal3.csv,43.0 - 92.0,ref_signal1.csv,8.0 - 57.0,130024
exp_signal19.csv,ref_signal1.csv,33.0 - 82.0,ref_signal3.csv,36.0 - 85.0,129242
exp_signal18.csv,ref_signal3.csv,12.0 - 61.0,ref_signal1.csv,32.0 - 81.0,130425
exp_signal37.csv,ref_signal3.csv,8.0 - 57.0,ref_signal1.csv,5.0 - 54.0,140142
exp_signal15.csv,ref_signal3.csv,8.0 - 57.0,ref_signal1.csv,5.0 - 54.0,128732
exp_signal34.csv,ref_signal1.csv,0.0 - 49.0,ref_signal3.csv,34.0 - 83.0,127459
exp_signal16.csv,ref_signal2.csv,44.0 - 93.0,ref_signal0.csv,10.0 - 59.0,133951
exp_signal13.csv,ref_signal3.csv,0.0 - 49.0,ref_signal1.csv,46.0 - 95.0,131006
exp_signal24.csv,ref_signal2.csv,3.0 - 52.0,ref_signal1.csv,1.0 - 50.0,129132
exp_signal27.csv,ref_signal1.csv,16.0 - 65.0,ref_signal3.csv,49.0 - 98.0,128622
exp_signal38.csv,ref_signal2.csv,47.0 - 96.0,ref_signal0.csv,10.0 - 59.0,133040
exp_signal2.csv,ref_signal3.csv,10.0 - 59.0,ref_signal1.csv,4.0 - 53.0,133280
exp_signal10.csv,ref_signal1.csv,35.0 - 84.0,ref_signal3.csv,38.0 - 87.0,129042
exp_signal14.csv,ref_signal0.csv,29.0 - 78.0,ref_signal3.csv,22.0 - 71.0,128280
exp_signal7.csv,ref_signal2.csv,45.0 - 94.0,ref_signal0.csv,12.0 - 61.0,130936
exp_signal17.csv,ref_signal1.csv,31.0 - 80.0,ref_signal2.csv,50.0 - 99.0,129844
exp_signal8.csv,ref_signal0.csv,37.0 - 86.0,ref_signal3.csv,3.0 - 52.0,131677
exp_signal31.csv,ref_signal1.csv,31.0 - 80.0,ref_signal2.csv,50.0 - 99.0,128942
exp_signal0.csv,ref_signal2.csv,2.0 - 51.0,ref_signal1.csv,0.0 - 49.0,136946
exp_signal1.csv,ref_signal0.csv,29.0 - 78.0,ref_signal3.csv,21.0 - 70.0,129002
exp_signal20.csv,ref_signal0.csv,43.0 - 92.0,ref_signal2.csv,9.0 - 58.0,127970
exp_signal39.csv,ref_signal2.csv,5.0 - 54.0,ref_signal0.csv,50.0 - 99.0,127539
exp_signal9.csv,ref_signal3.csv,8.0 - 57.0,ref_signal1.csv,2.0 - 51.0,128230
exp_signal32.csv,ref_signal2.csv,43.0 - 92.0,ref_signal0.csv,4.0 - 53.0,129232
exp_signal12.csv,ref_signal0.csv,17.0 - 66.0,ref_signal2.csv,50.0 - 99.0,127930
exp_signal35.csv,ref_signal1.csv,36.0 - 85.0,ref_signal3.csv,38.0 - 87.0,127409
exp_signal29.csv,ref_signal3.csv,43.0 - 92.0,ref_signal1.csv,7.0 - 56.0,136235
exp_signal26.csv,ref_signal2.csv,10.0 - 59.0,ref_signal0.csv,44.0 - 93.0,131096
exp_signal4.csv,ref_signal1.csv,11.0 - 60.0,ref_signal3.csv,46.0 - 95.0,128181
exp_signal23.csv,ref_signal0.csv,23.0 - 72.0,ref_signal2.csv,50.0 - 99.0,127499
exp_signal21.csv,ref_signal0.csv,46.0 - 95.0,ref_signal2.csv,10.0 - 59.0,127158
exp_signal11.csv,ref_signal2.csv,16.0 - 65.0,ref_signal0.csv,50.0 - 99.0,127449
exp_signal3.csv,ref_signal0.csv,10.0 - 59.0,ref_signal2.csv,48.0 - 97.0,127318
exp_signal25.csv,ref_signal1.csv,20.0 - 69.0,ref_signal3.csv,50.0 - 99.0,126918
exp_signal5.csv,ref_signal2.csv,33.0 - 82.0,ref_signal0.csv,1.0 - 50.0,133060
exp_signal30.csv,ref_signal2.csv,4.0 - 53.0,ref_signal1.csv,45.0 - 94.0,129913
exp_signal33.csv,ref_signal2.csv,12.0 - 61.0,ref_signal0.csv,46.0 - 95.0,127910
