Sample,Match 1 Reference,Match 1 Window,Match 2 Reference,Match 2 Window,Time to Compute (ns)
exp_signal28.csv,ref_signal2.csv,50.0 - 99.0,ref_signal1.csv,28.0 - 77.0,4025421
exp_signal6.csv,ref_signal3.csv,36.0 - 85.0,ref_signal1.csv,33.0 - 82.0,3512509
exp_signal36.csv,ref_signal1.csv,24.0 - 73.0,ref_signal3.csv,5.0 - 54.0,3555399
exp_signal22.csv,ref_signal1.csv,7.0 - 56.0,ref_signal3.csv,43.0 - 92.0,3457476
exp_signal19.csv,ref_signal1.csv,34.0 - 83.0,ref_signal0.csv,17.0 - 66.0,3471131
exp_signal18.csv,ref_signal3.csv,12.0 - 61.0,ref_signal0.csv,19.0 - 68.0,3522037
exp_signal37.csv,ref_signal3.csv,8.0 - 57.0,ref_signal2.csv,27.0 - 76.0,3510285
exp_signal15.csv,ref_signal3.csv,8.0 - 57.0,ref_signal2.csv,27.0 - 76.0,3523439
exp_signal34.csv,ref_signal1.csv,0.0 - 49.0,ref_signal3.csv,34.0 - 83.0,3532517
exp_signal16.csv,ref_signal2.csv,43.0 - 92.0,ref_signal0.csv,4.0 - 53.0,3506217
exp_signal13.csv,ref_signal2.csv,16.0 - 65.0,ref_signal3.csv,24.0 - 73.0,3516757
exp_signal24.csv,ref_signal2.csv,3.0 - 52.0,ref_signal0.csv,49.0 - 98.0,3584985
exp_signal27.csv,ref_signal1.csv,16.0 - 65.0,ref_signal3.csv,50.0 - 99.0,3515785
exp_signal38.csv,ref_signal2.csv,46.0 - 95.0,ref_signal0.csv,10.0 - 59.0,3546011
exp_signal2.csv,ref_signal3.csv,10.0 - 59.0,ref_signal1.csv,3.0 - 52.0,3544359
exp_signal10.csv,ref_signal1.csv,36.0 - 85.0,ref_signal0.csv,19.0 - 68.0,3523279
exp_signal14.csv,ref_signal0.csv,30.0 - 79.0,ref_signal1.csv,45.0 - 94.0,3564156
exp_signal7.csv,ref_signal2.csv,44.0 - 93.0,ref_signal0.csv,11.0 - 60.0,3600073
exp_signal17.csv,ref_signal1.csv,32.0 - 81.0,ref_signal0.csv,15.0 - 64.0,3535482
exp_signal8.csv,ref_signal0.csv,36.0 - 85.0,ref_signal3.csv,29.0 - 78.0,3531975
exp_signal31.csv,ref_signal1.csv,32.0 - 81.0,ref_signal0.csv,17.0 - 66.0,3534410
exp_signal0.csv,ref_signal2.csv,2.0 - 51.0,ref_signal0.csv,47.0 - 96.0,3526015
exp_signal1.csv,ref_signal0.csv,29.0 - 78.0,ref_signal1.csv,40.0 - 89.0,3570688
exp_signal20.csv,ref_signal0.csv,43.0 - 92.0,ref_signal2.csv,9.0 - 58.0,3561311
exp_signal39.csv,ref_signal2.csv,5.0 - 54.0,ref_signal0.csv,37.0 - 86.0,3532577
exp_signal9.csv,ref_signal3.csv,8.0 - 57.0,ref_signal1.csv,2.0 - 51.0,3534791
exp_signal32.csv,ref_signal2.csv,42.0 - 91.0,ref_signal0.csv,4.0 - 53.0,3512148
exp_signal12.csv,ref_signal0.csv,18.0 - 67.0,ref_signal2.csv,50.0 - 99.0,3521265
exp_signal35.csv,ref_signal1.csv,37.0 - 86.0,ref_signal0.csv,20.0 - 69.0,3499665
exp_signal29.csv,ref_signal3.csv,43.0 - 92.0,ref_signal1.csv,7.0 - 56.0,3518760
exp_signal26.csv,ref_signal2.csv,10.0 - 59.0,ref_signal0.csv,43.0 - 92.0,3537746
exp_signal4.csv,ref_signal1.csv,11.0 - 60.0,ref_signal2.csv,34.0 - 83.0,3520434
exp_signal23.csv,ref_signal0.csv,23.0 - 72.0,ref_signal1.csv,31.0 - 80.0,3506618
exp_signal21.csv,ref_signal0.csv,46.0 - 95.0,ref_signal2.csv,0.0 - 49.0,3555560
exp_signal11.csv,ref_signal2.csv,17.0 - 66.0,ref_signal0.csv,50.0 - 99.0,3525103
exp_signal3.csv,ref_signal0.csv,10.0 - 59.0,ref_signal2.csv,44.0 - 93.0,3538918
exp_signal25.csv,ref_signal1.csv,20.0 - 69.0,ref_signal2.csv,42.0 - 91.0,3539980
exp_signal5.csv,ref_signal2.csv,33.0 - 82.0,ref_signal0.csv,2.0 - 51.0,3521216
exp_signal30.csv,ref_signal0.csv,35.0 - 84.0,ref_signal2.csv,4.0 - 53.0,3579164
exp_signal33.csv,ref_signal2.csv,13.0 - 62.0,ref_signal0.csv,46.0 - 95.0,3543217
